Data,PPinv,time near dummy,time near,time grad dummy,time grad,time dist dummy,time dist,threshold,error near abs,error near sq,error grad abs,error grad sq,error dist abs,error dist sq,GRID,num_sparse_near,num_sparse_grad,num_sparse_dist
MNIST,DBM(t-SNE+iLAMP),205.02313041687,4.29169011116028,208.257615327835,39.5577201843262,199.947465419769,17.34348487854,0.5,0.898663682544536,0.0115656221837107,600.446023288393,0.220722272241741,0.19194117585565,0.213916696251638,256,1156,3200,5361
MNIST,DBM(t-SNE+iLAMP),205.02313041687,3.50423407554626,208.257615327835,23.4736969470978,199.947465419769,10.5139744281769,0.6,0.898663682544536,0.0115656221837107,621.407527662106,0.239776562122271,0.199300744209478,0.221858054058953,256,1156,2033,3216
MNIST,DBM(t-SNE+iLAMP),205.02313041687,3.43607974052429,208.257615327835,18.0358326435089,199.947465419769,6.72125554084778,0.7,0.898663682544536,0.0115656221837107,632.181116558895,0.253167695334032,0.204893799072969,0.227593940616263,256,1156,1542,2029
MNIST,DBM(UMAP+RBF),8.22292470932007,9.29473447799683,4.54513788223267,13.3156249523163,20.7039663791657,19.2965888977051,0.1,0.284922867717277,0.0142895384614617,32.4248163519498,0.0430356309858408,0.0352880762337135,0.0195351472039385,256,63472,49744,58646
MNIST,DBM(UMAP+RBF),8.22292470932007,5.60103750228882,4.54513788223267,10.111492395401,20.7039663791657,13.6540374755859,0.15,0.288380019531332,0.0140656127359967,32.7005701870035,0.0432328232925318,0.0369045062180342,0.020029758662835,256,40544,38308,40427
MNIST,DBM(UMAP+RBF),8.22292470932007,3.25727915763855,4.54513788223267,7.14424848556519,20.7039663791657,9.65507555007935,0.2,0.297966889830228,0.0142029869121461,33.7971127505942,0.0458616102574859,0.0395037850955573,0.0211499339360309,256,23145,26808,28381
MNIST,DBM(UMAP+RBF),8.22292470932007,1.74411511421204,4.54513788223267,5.05742120742798,20.7039663791657,6.70303821563721,0.25,0.326757299007546,0.0160576716293919,35.1434676536607,0.0485863358839231,0.0424868386090712,0.0232911753031106,256,11637,18902,19414
MNIST,DBM(UMAP+RBF),8.22292470932007,0.955374956130981,4.54513788223267,3.5716233253479,20.7039663791657,4.92602300643921,0.3,0.354112883248151,0.0180053498120816,36.528103387584,0.05134429704084,0.0459565012668089,0.0266528446094785,256,6003,13064,13278
MNIST,DBM(UMAP+RBF),8.22292470932007,0.371842622756958,4.54513788223267,1.8208212852478,20.7039663791657,2.64553284645081,0.4,0.394906064627313,0.0212832072534069,39.9558191403145,0.0598254342191309,0.0530676966804375,0.0344819022901588,256,2169,6861,6877
MNIST,DBM(UMAP+RBF),8.22292470932007,0.284801483154297,4.54513788223267,0.926925897598267,20.7039663791657,1.40460538864136,0.5,0.420005232218336,0.023639714791146,44.4282231369684,0.0728151584709252,0.0620747554752919,0.0486881015336452,256,1380,3530,3211
MNIST,DBM(UMAP+RBF),8.22292470932007,0.248777866363525,4.54513788223267,0.525197505950928,20.7039663791657,0.941034555435181,0.6,0.425891168234693,0.0242040732120802,48.7041281203826,0.0852915505834729,0.0669656947238052,0.0570762444716008,256,1156,1955,1998
MNIST,DBM(UMAP+RBF),8.22292470932007,0.21099066734314,4.54513788223267,0.437806367874146,20.7039663791657,0.78412127494812,0.7,0.425891168234693,0.0242040732120802,51.5616180527863,0.0934457428514255,0.069274433803362,0.0612139369444464,256,1156,1402,1492
MNIST,DBM(t-SNE+RBF),8.19464683532715,7.48973035812378,4.68112516403198,16.0819671154022,20.1591854095459,19.5056564807892,0.1,0.34659318295289,0.0161318843492745,30.5594405049174,0.0242626720715422,0.0396691663991307,0.0226841974060264,256,53408,59772,57309
MNIST,DBM(t-SNE+RBF),8.19464683532715,8.54376697540283,4.68112516403198,10.2108194828033,20.1591854095459,12.5849347114563,0.15,0.352275776820623,0.0164788271638509,32.0572935716861,0.0262640748583143,0.0437261808028669,0.0259221279065099,256,62919,38970,35527
MNIST,DBM(t-SNE+RBF),8.19464683532715,5.66927981376648,4.68112516403198,6.60613465309143,20.1591854095459,7.81986212730408,0.2,0.359949401258896,0.0170481080018391,33.9947451263916,0.0291456341394037,0.0480006592344583,0.0308848561409054,256,41313,24857,21719
MNIST,DBM(t-SNE+RBF),8.19464683532715,3.1946280002594,4.68112516403198,4.12467360496521,20.1591854095459,4.88784456253052,0.25,0.387188898737446,0.0197570083761444,36.7022450664062,0.0334563952586834,0.0550874874279539,0.0411838442033233,256,23065,15539,13089
MNIST,DBM(t-SNE+RBF),8.19464683532715,1.69534540176392,4.68112516403198,2.71172332763672,20.1591854095459,2.9881956577301,0.3,0.416204426284145,0.0225596888618198,38.7144863127936,0.036536823174378,0.0633068387827688,0.0531606930236685,256,11456,10585,7719
MNIST,DBM(t-SNE+RBF),8.19464683532715,0.54643988609314,4.68112516403198,1.38010835647583,20.1591854095459,1.35302376747131,0.4,0.47994262430423,0.0286593116406682,43.340715276729,0.0441306275896417,0.076600290393563,0.0788305212574044,256,3367,5112,3063
MNIST,DBM(t-SNE+RBF),8.19464683532715,0.370909214019775,4.68112516403198,0.644015312194824,20.1591854095459,0.810329675674439,0.5,0.51604338525555,0.0323420377255733,47.7424124335387,0.0526651260639895,0.0828613978653799,0.0914107162751084,256,1655,2494,1711
MNIST,DBM(t-SNE+RBF),8.19464683532715,0.251749992370605,4.68112516403198,0.485608816146851,20.1591854095459,0.608532667160034,0.6,0.535406204733643,0.0349119490342141,50.024872922764,0.0558627356473063,0.0851625688860707,0.0954249899106531,256,1216,1602,1306
MNIST,DBM(t-SNE+RBF),8.19464683532715,0.212782859802246,4.68112516403198,0.372950315475464,20.1591854095459,0.552773952484131,0.7,0.539955303031157,0.0353552683287845,52.5287030701716,0.0602472801105438,0.0858185728517839,0.0976130162041044,256,1160,1302,1214
